,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80
A, , , , ,X, , , , , , , ,X, ,X, , , , , ,X, , , ,X, , , ,X, , , , , ,X, ,X,X,X,X,X,X,X,X,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X
B,X,X,X,X,X,X,X,X, ,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , ,X, ,X,X,X,X,X,X,X, , ,X, , , , , , ,X, ,X, , , , , , , ,X,X, , , , , , , ,X,X,X,X,X,X,X,X,X, 
C,X,X,X,X,X,X,X,X,X,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X,X,X,X,X,X,X,X,X
D,X,X,X,X,X,X,X,X, ,X, , , , , , ,X,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , ,X,X,X,X,X,X,X,X,X,X, 
E,X,X,X,X,X,X,X,X,X,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X,X,X,X,X,X,X,X,X,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X,X,X,X,X,X,X,X,X
F,X,X,X,X,X,X,X,X,X,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X,X,X,X,X,X,X,X,X,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , 
G,X,X,X,X,X,X,X,X,X,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , ,X,X,X,X, , , , , , , ,X,X, , , , , , , ,X,X,X,X,X,X,X,X,X,X
H,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X,X,X,X,X,X,X,X,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X
I, , ,X,X,X,X,X, , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , ,X,X,X,X,X, , 
J, , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , ,X, , , , , ,X, , ,X, , , , , ,X, , , ,X, , , ,X, , , , , ,X,X,X, , , 
K,X, , , , , ,X, , ,X, , , , ,X, , , ,X, , , ,X, , , , ,X, , ,X, , , , , ,X,X,X, , , , , , ,X, , ,X, , , , , ,X, , , ,X, , , , ,X, , , , ,X, , , ,X, , , , , ,X, , 
L,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X,X,X,X,X,X,X,X,X
M,X, , , , , , , ,X,X,X, , , , , ,X,X,X,X, , , , , ,X,X,X, ,X, , , ,X, ,X,X, ,X, , , ,X, ,X,X, , ,X, ,X, , ,X,X, , ,X, ,X, , ,X,X,X, , ,X, , , ,X,X, , , ,X, , , ,X
N,X, , , , , , , ,X,X,X, , , , , , ,X,X, ,X, , , , , ,X,X, , ,X, , , , ,X,X, , , ,X, , , ,X,X, , , , ,X, , ,X,X, , , , , ,X, ,X,X, , , , , , ,X,X,X, , , , , , , ,X
O, ,X,X,X,X,X,X,X, ,X,X, , , , , ,X,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X, ,X,X,X,X,X,X,X, 
P,X,X,X,X,X,X,X,X,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X,X,X,X,X,X,X,X,X,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , 
Q,X,X,X,X,X,X,X,X,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , ,X, , ,X,X, , , , , ,X, ,X,X, , , , , , ,X,X,X,X,X,X,X,X,X,X,X
R,X,X,X,X,X,X,X,X,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X,X,X,X,X,X,X,X,X,X, , , , ,X, , , ,X, , , , , ,X, , ,X, , , , , , ,X, ,X, , , , , , , ,X
S,X,X,X,X,X,X,X,X,X,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X,X,X,X,X,X,X,X,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X,X,X,X,X,X,X,X,X,X
T, ,X,X,X,X,X,X,X, , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , , , , , ,X, , , , 
U,X,X, , , , , ,X,X,X,X, , , , , ,X,X,X,X, , , , , ,X,X,X,X, , , , , ,X,X,X,X, , , , , ,X,X,X,X, , , , , ,X,X,X,X, , , , , ,X,X, ,X,X, , , ,X,X, , , ,X,X,X,X,X, , 
W,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , , , , , ,X,X, , , ,X, , , ,X,X, , ,X, ,X, , ,X,X, ,X, , , ,X, ,X, ,X, , , , , ,X, 
X,X, , , , , , , ,X, ,X, , , , , ,X, , , ,X, , , ,X, , , , , ,X, ,X, , , , , , , ,X, , , , , , , ,X, ,X, , , , , ,X, , , ,X, , , ,X, , , , , ,X, ,X, , , , , , , ,X
Z,X,X,X,X,X,X,X,X,X, , , , , , , ,X, , , , , , , ,X, , , , , , , ,X, , , , , , , ,X, , , , , , , ,X, , , , , , , ,X, , , , , , , ,X, , , , , , , ,X,X,X,X,X,X,X,X,X
